Feature,Description
kepid,KepID
kepoi_name, KOI Name
kepler_name,Kepler Name
koi_disposition, Exoplanet Archive Disposition
koi_vet_stat, Vetting Status
koi_vet_date, Date of Last Parameter Update
koi_pdisposition, Disposition Using Kepler Data
koi_score,Disposition Score
koi_fpflag_nt,Not Transit-Like False Positive Flag
koi_fpflag_ss,Stellar Eclipse False Positive Flag
koi_fpflag_co,Centroid Offset False Positive Flag
koi_fpflag_ec,Ephemeris Match Indicates Contamination False Positive Flag
koi_disp_prov,Disposition Provenance
koi_comment,Comment
koi_period, Orbital Period [days]
koi_time0bk,Transit Epoch [BKJD]
koi_time0,Transit Epoch [BJD]
koi_eccen,Eccentricity
koi_longp,Long. of Periastron [deg]
koi_impact, Impact Parameter
koi_duration, Transit Duration [hrs]
koi_ingress,Ingress Duration [hrs]
koi_depth,Transit Depth [ppm]
koi_ror,Planet-Star Radius Ratio
koi_srho, Fitted Stellar Density [g/cm**3]
koi_fittype,Planetary Fit Type
koi_prad, Planetary Radius [Earth radii]
koi_sma,Orbit Semi-Major Axis [au]
koi_incl, Inclination [deg]
koi_teq,Equilibrium Temperature [K]
koi_insol,Insolation Flux [Earth flux]
koi_dor,Planet-Star Distance over Star Radius
koi_limbdark_mod, Limb Darkening Model
koi_ldm_coeff4, Limb Darkening Coeff. 4
koi_ldm_coeff3, Limb Darkening Coeff. 3
koi_ldm_coeff2, Limb Darkening Coeff. 2
koi_ldm_coeff1, Limb Darkening Coeff. 1
koi_parm_prov,Parameters Provenance
koi_max_sngle_ev, Maximum Single Event Statistic
koi_max_mult_ev, Maximum Multiple Event Statistic
koi_model_snr,Transit Signal-to-Noise
koi_count,Number of Planets
koi_num_transits, Number of Transits
koi_tce_plnt_num, TCE Planet Number
koi_tce_delivname, TCE Delivery
koi_quarters, Quarters
koi_bin_oedp_sig, Odd-Even Depth Comparision Statistic
koi_trans_mod,Transit Model
koi_model_dof,Degrees of Freedom
koi_model_chisq, Chi-Square
koi_datalink_dvr, Link to DV Report
koi_datalink_dvs, Link to DV Summary
koi_steff,Stellar Effective Temperature [K]
koi_slogg,Stellar Surface Gravity [log10(cm/s**2)]
koi_smet, Stellar Metallicity [dex]
koi_srad, Stellar Radius [Solar radii]
koi_smass,Stellar Mass [Solar mass]
koi_sage, Stellar Age [Gyr]
koi_sparprov, Stellar Parameter Provenance
ra, RA [decimal degrees]
dec,Dec [decimal degrees]
koi_kepmag, Kepler-band [mag]
koi_gmag, g'-band [mag]
koi_rmag, r'-band [mag]
koi_imag, i'-band [mag]
koi_zmag, z'-band [mag]
koi_jmag, J-band [mag]
koi_hmag, H-band [mag]
koi_kmag, K-band [mag]
koi_fwm_stat_sig, FW Offset Significance [percent]
koi_fwm_sra,FW Source &alpha;(OOT) [hrs]
koi_fwm_sdec, FW Source &delta;(OOT) [deg]
koi_fwm_srao, FW Source &Delta;&alpha;(OOT) [sec]
koi_fwm_sdeco,FW Source &Delta;&delta;(OOT) [arcsec]
koi_fwm_prao, FW &Delta;&alpha;(OOT) [sec]
koi_fwm_pdeco,FW &Delta;&delta;(OOT) [arcsec]
koi_dicco_mra,PRF &Delta;&alpha;<sub>SQ</sub>(OOT) [arcsec]
koi_dicco_mdec, PRF &Delta;&delta;<sub>SQ</sub>(OOT) [arcsec]
koi_dicco_msky, PRF &Delta;&theta;<sub>SQ</sub>(OOT) []arcsec
koi_dikco_mra,PRF &Delta;&alpha;<sub>SQ</sub>(KIC) [arcsec]
koi_dikco_mdec, PRF &Delta;&delta;<sub>SQ</sub>(KIC) [arcsec]
koi_dikco_msky, PRF &Delta;&theta;<sub>SQ</sub>(KIC) [arcsec]
